Load|Bundle|Package|Part|RevNum|ModelPart|OurInvShipQty|OurJobShipQty|Quantity|Weight|SerialNumber|ProductionDate|ShipDate|OrderNum|OrderLine|SCAC|CarrierID|JobNumber|Valueadd|MaterialCost
P02-17042060|2307|211744|FR36|REL|FR36|0|1|1|245|1704111725B|4/11/2017||502053|1|||419389|586.63|628.58
P02-17042060|2308|211702|HC24WS|REL|HC24WS-O|0|1|1|175|1704101699B|4/10/2017||502078|1|||419661|469.43|573.66
P02-17042060|2309|211753|BC48|REL|BC48-1|0|1|1|285|1704111782B|4/11/2017||502079|1|||419749|543.72|529.87
P02-17042060|2310|211811|FR60|REL|FR60|0|1|1|350|1704121807B|4/12/2017||502080|1|||419747|636.77|752.6
P02-17042060|2311|211825|FR48|REL|FR48|0|1|1|310|1704121808B|4/12/2017||502083|1|||419748|576.94|686.04
P02-17042060|2312|211826|BC24|REL|BC24-1|0|1|1|190|1704121853B|4/12/2017||501967|1|||418446|466.31|318.77
P02-17042060|2313|211792|BC36|REL|BC36-1|0|1|1|245|1704111784B|4/11/2017||501975|1|||418547|529.38|406.03
P02-17042060|2314|211632|HB24FS|REL|HB24FS-D|0|1|1|195|1704071624B|4/7/2017||501984|1|||418621|649.74|552.05
P02-17042060|2314|211633|HB24FS|REL|HB24FS-D|0|1|1|195|1704071620B|4/7/2017||501984|1|||418622|649.74|552.05
P02-17042060|2314|211634|HB24FS|REL|HB24FS-D|0|1|1|195|1704071604B|4/7/2017||501984|3|||418624|649.74|552.05
P02-17042060|2314|211657|HB24FS|REL|HB24FS-D|0|1|1|195|1704071629B|4/7/2017||501984|3|||418623|649.74|552.05
P02-17042060|2314|211852|66736|REL||2|0|2|30.9||||501984|2|||||
P02-17042060|2314|211852|66736|REL||2|0|2|30.9||||501984|4|||||
P02-17042060|2315|211513|FR60|REL|FR60|0|1|1|350|1704051477B|4/5/2017||502024|1|||418989|628.58|770.75
P02-17042060|2316|211890|HP24BS|REL|HP24BS-3-3R|0|1|1|203|1704121863B|4/12/2017||502138|1|||420401|488.8|705.69
P02-17042060|2317|211820|HB24WS|REL|HB24WS-O|0|1|1|195|1704121818B|4/12/2017||502032|1|||419074|413.26|509.93
P02-17042060|2317|211854|66736|REL||1|0|1|15.45||||502032|2|||||
P02-17042060|2318|211755|BC48|REL|BC48-1|0|1|1|285|1704111781B|4/11/2017||501993|4|||419291|570.22|540.67
P02-17042060|2318|211804|BC48|REL|BC48-1|0|1|1|285|1704121805B|4/12/2017||501993|4|||419292|570.22|540.67
P02-17042060|2318|211823|FR24|REL|FR24|0|1|1|200|1704121835B|4/12/2017||501993|2|||418811|505.48|520.62
P02-17042060|2319|211865|BC36LT|REL|BC36LT-1|0|1|1|245|1704131887B|4/13/2017||501994|1|||418894|567.4|437.45
P02-17042060|2320|211813|BC48|REL|BC48-1|0|1|1|285|1704121810B|4/12/2017||502095|1|||419802|568.38|572.13
P02-17042060|2321|211863|FR36|REL|FR36|0|1|1|245|1704131880B|4/13/2017||502096|1|||419801|561.79|613.69
P02-17042060|2322|211801|BC48|REL|BC48-1|0|1|1|285|1704121806B|4/12/2017||502067|1|||419574|569.33|540.79
P02-17042060|2323|211860|FR24|REL|FR24|0|1|1|200|1704131888B|4/13/2017||502009|1|||418981|511.6|546.73
P02-17042060|2323|211867|FR24|REL|FR24|0|1|1|200|1704131889B|4/13/2017||502009|1|||418980|511.6|546.73
P02-17042060|2324|211858|FR48|REL|FR48|0|1|1|310|1704131879B|4/13/2017||502017|2|||418982|576.05|686.16
P02-17042060|2324|211866|FR48|REL|FR48|0|1|1|310|1704131885B|4/13/2017||502017|4|||418984|576.05|686.16
P02-17042060|2324|211875|FR48|REL|FR48|0|1|1|310|1704131884B|4/13/2017||502017|2|||418983|576.05|686.16
P02-17042060|2324|211878|BC48|REL|BC48-1|0|1|1|285|1704131907B|4/13/2017||502017|1|||418986|545.85|533.06
P02-17042060|2324|211879|BC48|REL|BC48-1|0|1|1|285|1704131906B|4/13/2017||502017|3|||418987|545.85|533.06
P02-17042060|2324|211880|BC48|REL|BC48-1|0|1|1|285|1704131905B|4/13/2017||502017|1|||418985|545.85|533.06
